threads,run,duration_ms,files_processed
1,1,16889,52
1,2,16745,52
1,3,16852,52
2,1,10082,52
2,2,9952,52
2,3,10103,52
3,1,6803,52
3,2,6824,52
3,3,6828,52
4,1,6177,52
4,2,6204,52
4,3,6246,52
5,1,3962,52
5,2,4109,52
5,3,4060,52
6,1,4100,52
6,2,3993,52
6,3,3993,52
7,1,3971,52
7,2,3914,52
7,3,4087,52
8,1,4111,52
8,2,4080,52
8,3,4099,52
9,1,4240,52
9,2,4351,52
9,3,4625,52
10,1,4858,52
10,2,5641,52
10,3,5211,52
