threads,run,duration_ms,files_processed
1,1,19532,52
1,2,19577,52
1,3,19488,52
2,1,12739,52
2,2,12188,52
2,3,11868,52
3,1,8292,52
3,2,8262,52
3,3,8377,52
4,1,6911,52
4,2,6690,52
4,3,6564,52
5,1,4426,52
5,2,4233,52
5,3,5167,52
6,1,5311,52
6,2,5362,52
6,3,5118,52
7,1,5145,52
7,2,5141,52
7,3,5108,52
8,1,5087,52
8,2,5534,52
8,3,5322,52
9,1,5305,52
9,2,5216,52
9,3,5328,52
10,1,5443,52
10,2,4343,52
10,3,4952,52
