threads,run,duration_ms,files_processed
1,1,17936,52
1,2,18082,52
1,3,18178,52
2,1,10145,52
2,2,10065,52
2,3,10057,52
3,1,6862,52
3,2,6808,52
3,3,6733,52
4,1,6274,52
4,2,6454,52
4,3,6192,52
5,1,4250,52
5,2,4096,52
5,3,4128,52
6,1,4190,52
6,2,3935,52
6,3,3883,52
7,1,3937,52
7,2,3962,52
7,3,4024,52
8,1,3942,52
8,2,4048,52
8,3,3920,52
9,1,4006,52
9,2,3947,52
9,3,4129,52
10,1,4096,52
10,2,4039,52
10,3,4008,52
